epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,4523.32,1.10818,0.67283,0.89686,0.5172,0.39854,0.40933,0.24685,1.19154,0.83933,0.90704,0.005974,0.005974,0.005974
124,4560.19,1.10791,0.67265,0.89632,0.52132,0.39745,0.4098,0.24707,1.19124,0.83888,0.90708,0.005941,0.005941,0.005941
125,4597.05,1.10686,0.67226,0.89508,0.52477,0.39599,0.40926,0.24645,1.19149,0.83867,0.90703,0.005908,0.005908,0.005908
126,4633.6,1.10286,0.66893,0.89628,0.51992,0.39952,0.40908,0.24639,1.19119,0.8388,0.90691,0.005875,0.005875,0.005875
127,4670.09,1.10158,0.66689,0.89675,0.51903,0.39909,0.4092,0.24623,1.19166,0.83918,0.90714,0.005842,0.005842,0.005842
128,4706.81,1.10002,0.66433,0.89522,0.52062,0.39909,0.40945,0.24684,1.19169,0.83896,0.90703,0.005809,0.005809,0.005809
129,4743.53,1.09642,0.66291,0.89333,0.52208,0.4003,0.41017,0.24702,1.19141,0.83892,0.90702,0.005776,0.005776,0.005776
130,4780.34,1.09959,0.66158,0.89268,0.52547,0.39938,0.40948,0.24684,1.19082,0.83925,0.90678,0.005743,0.005743,0.005743
131,4817.09,1.09655,0.66018,0.89191,0.52312,0.40127,0.41061,0.24722,1.19089,0.83952,0.90685,0.00571,0.00571,0.00571
132,4854.05,1.0963,0.65722,0.89408,0.52516,0.40171,0.4105,0.2473,1.19059,0.83937,0.90676,0.005677,0.005677,0.005677
133,4890.91,1.09373,0.65379,0.89314,0.52675,0.40014,0.4105,0.24766,1.19077,0.84013,0.90672,0.005644,0.005644,0.005644
134,4927.93,1.08907,0.65188,0.89247,0.5219,0.40228,0.41061,0.24782,1.19011,0.8406,0.90669,0.005611,0.005611,0.005611
135,4964.8,1.08782,0.64984,0.89262,0.52349,0.40351,0.41095,0.24785,1.18931,0.84041,0.90657,0.005578,0.005578,0.005578
136,5001.66,1.091,0.64945,0.89141,0.52212,0.4043,0.4109,0.24794,1.18936,0.84041,0.90651,0.005545,0.005545,0.005545
137,5038.47,1.09195,0.65162,0.89191,0.52419,0.40271,0.41144,0.24802,1.18893,0.84074,0.90661,0.005512,0.005512,0.005512
138,5075.4,1.0894,0.64838,0.89147,0.53042,0.39993,0.41189,0.2485,1.18867,0.84068,0.90652,0.005479,0.005479,0.005479
139,5112.28,1.08655,0.64661,0.89133,0.52429,0.40419,0.41146,0.24822,1.18889,0.84107,0.90655,0.005446,0.005446,0.005446
140,5149.08,1.08255,0.64292,0.88901,0.52559,0.40371,0.41118,0.24831,1.18913,0.84097,0.90653,0.005413,0.005413,0.005413
141,5185.86,1.08363,0.64501,0.89035,0.5266,0.40372,0.41155,0.2484,1.1893,0.84147,0.90642,0.00538,0.00538,0.00538
142,5222.63,1.08288,0.6415,0.88886,0.52595,0.40296,0.41163,0.24853,1.18873,0.84151,0.90623,0.005347,0.005347,0.005347
143,5259.47,1.07818,0.63528,0.88939,0.52435,0.40323,0.41172,0.2484,1.18879,0.84136,0.90622,0.005314,0.005314,0.005314
144,5296.21,1.07762,0.63488,0.88851,0.5293,0.39886,0.41115,0.24801,1.18933,0.84174,0.9065,0.005281,0.005281,0.005281
145,5332.96,1.07991,0.63435,0.88968,0.53105,0.39892,0.4113,0.24771,1.18963,0.84197,0.90649,0.005248,0.005248,0.005248
146,5369.76,1.07808,0.63683,0.88791,0.53144,0.39879,0.4116,0.2477,1.18973,0.84217,0.90663,0.005215,0.005215,0.005215
147,5406.47,1.07549,0.6318,0.887,0.53059,0.39822,0.41137,0.24774,1.19004,0.84283,0.90675,0.005182,0.005182,0.005182
148,5443.33,1.0729,0.62956,0.88654,0.53346,0.39764,0.41165,0.2477,1.19019,0.84307,0.90676,0.005149,0.005149,0.005149
149,5480.01,1.07089,0.62827,0.8874,0.53498,0.39788,0.41176,0.24797,1.1903,0.84391,0.90668,0.005116,0.005116,0.005116
150,5516.89,1.07452,0.62986,0.8877,0.53564,0.39728,0.41138,0.24772,1.19053,0.84403,0.90673,0.005083,0.005083,0.005083
151,5553.77,1.06888,0.62608,0.88708,0.5341,0.39776,0.41114,0.24752,1.19065,0.84443,0.90684,0.00505,0.00505,0.00505
152,5590.67,1.06656,0.62171,0.88565,0.53697,0.39734,0.41117,0.24744,1.19033,0.84484,0.90674,0.005017,0.005017,0.005017
153,5627.51,1.06918,0.62391,0.88559,0.53241,0.39917,0.41116,0.24722,1.19061,0.84537,0.9067,0.004984,0.004984,0.004984
154,5664.37,1.0664,0.62092,0.88459,0.53292,0.40012,0.41121,0.24735,1.19061,0.84579,0.90665,0.004951,0.004951,0.004951
155,5701.2,1.06501,0.62117,0.88543,0.53328,0.39914,0.41101,0.24764,1.19046,0.84552,0.90666,0.004918,0.004918,0.004918
156,5738.06,1.06376,0.61843,0.8851,0.53334,0.39806,0.41088,0.24732,1.19026,0.84552,0.90664,0.004885,0.004885,0.004885
157,5774.8,1.06299,0.61526,0.88353,0.53304,0.39765,0.411,0.2473,1.19024,0.84565,0.9066,0.004852,0.004852,0.004852
158,5811.58,1.06153,0.61673,0.88373,0.53358,0.39758,0.41058,0.24748,1.19006,0.84571,0.90657,0.004819,0.004819,0.004819
159,5848.44,1.0608,0.61445,0.88279,0.53408,0.39756,0.41081,0.24727,1.19028,0.84616,0.90656,0.004786,0.004786,0.004786
160,5885.27,1.05756,0.61263,0.88449,0.53658,0.39629,0.41128,0.24731,1.18995,0.84596,0.90656,0.004753,0.004753,0.004753
161,5921.74,1.05781,0.61034,0.88282,0.53423,0.39642,0.41124,0.24737,1.19,0.84623,0.9065,0.00472,0.00472,0.00472
162,5958.48,1.0558,0.60907,0.88202,0.53206,0.3967,0.41143,0.24735,1.19007,0.84649,0.90634,0.004687,0.004687,0.004687
163,5995.26,1.05276,0.6064,0.88166,0.52732,0.39916,0.41097,0.24723,1.19013,0.84631,0.90631,0.004654,0.004654,0.004654
164,6032.07,1.05194,0.60526,0.88044,0.52458,0.39978,0.41122,0.2475,1.1903,0.84647,0.90643,0.004621,0.004621,0.004621
165,6068.92,1.05303,0.60532,0.88119,0.52747,0.39861,0.41087,0.24749,1.19016,0.84631,0.90641,0.004588,0.004588,0.004588
166,6105.7,1.05034,0.60354,0.8813,0.52888,0.39787,0.41116,0.24766,1.19043,0.84681,0.90646,0.004555,0.004555,0.004555
167,6142.47,1.04299,0.5995,0.88008,0.52794,0.39823,0.4109,0.24756,1.19047,0.84663,0.90648,0.004522,0.004522,0.004522
168,6179.28,1.04771,0.60199,0.88061,0.52789,0.39783,0.41092,0.24754,1.1904,0.84676,0.90654,0.004489,0.004489,0.004489
169,6215.96,1.04727,0.59947,0.88176,0.52879,0.39823,0.41123,0.24783,1.19078,0.84696,0.90673,0.004456,0.004456,0.004456
170,6252.71,1.04409,0.59802,0.87956,0.52979,0.39855,0.41151,0.24809,1.19093,0.8471,0.90679,0.004423,0.004423,0.004423
171,6289.54,1.0432,0.59523,0.87943,0.53095,0.39824,0.41196,0.24803,1.19087,0.84678,0.90681,0.00439,0.00439,0.00439
172,6326.28,1.04067,0.59443,0.87903,0.53158,0.39867,0.41227,0.2482,1.19059,0.84679,0.90673,0.004357,0.004357,0.004357
173,6363.12,1.04106,0.59379,0.87838,0.53448,0.39793,0.41257,0.24836,1.19063,0.84695,0.90683,0.004324,0.004324,0.004324
174,6399.88,1.03713,0.59188,0.87721,0.53464,0.39741,0.41262,0.24849,1.19048,0.84701,0.90686,0.004291,0.004291,0.004291
175,6436.71,1.0374,0.59035,0.87777,0.53547,0.39631,0.41258,0.24852,1.19078,0.84739,0.90694,0.004258,0.004258,0.004258
176,6473.55,1.03647,0.58946,0.87755,0.53557,0.39576,0.41237,0.24863,1.19121,0.84767,0.90702,0.004225,0.004225,0.004225
177,6510.48,1.03448,0.58714,0.87759,0.53989,0.39394,0.41277,0.24867,1.19117,0.84766,0.90702,0.004192,0.004192,0.004192
178,6547.46,1.03454,0.58732,0.87801,0.53788,0.39553,0.41275,0.24873,1.19124,0.84801,0.90708,0.004159,0.004159,0.004159
179,6584.34,1.0326,0.58408,0.87676,0.53799,0.39734,0.4129,0.24859,1.19136,0.84786,0.90706,0.004126,0.004126,0.004126
